Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-09-15 16:29:00,false,"Henrico County Running","4.00","400","00:30:25","144","156","2.3","169","177","7:37","6:28","144","144","1.25","0.0","5,164","--","86.0","No","00:30:25","1","89.6","00:30:18","00:31:37","249","316"
Running,2021-09-14 16:10:27,false,"Henrico County Running","4.95","631","00:46:34","151","190","3.1","112","239","9:24","3:33","135","128","1.64","0.0","5,934","--","87.8","No","00:00:14.1","16","91.4","00:39:17","01:00:10","302","337"
Running,2021-09-13 16:11:36,false,"Henrico County Running","8.04","895","00:56:09","163","183","3.9","173","224","6:59","4:06","256","272","1.33","0.0","9,764","--","86.0","No","00:03:28.7","3","95.0","00:56:08","01:06:43","266","350"
Running,2021-09-11 17:42:47,false,"Henrico County Running","13.00","1,314","01:33:08","155","170","3.1","173","194","7:10","5:37","522","541","1.30","0.0","16,184","--","75.2","No","01:33:08","1","84.2","01:33:03","01:33:31","154","323"
Running,2021-09-09 16:10:40,false,"Henrico County Running","5.50","547","00:40:20","147","166","2.7","173","184","7:20","5:34","213","213","1.27","0.0","7,000","--","80.6","No","00:03:36.8","3","86.0","00:40:19","00:57:35","220","287"
Running,2021-09-09 07:32:49,false,"Henrico County Running","6.00","589","00:44:33","145","162","2.5","173","201","7:26","5:23","236","249","1.25","0.0","7,740","--","73.4","No","00:44:33","1","84.2","00:44:22","00:46:24","243","380"
Running,2021-09-07 16:05:17,false,"Henrico County Running","7.87","765","00:57:34","150","167","2.9","164","237","7:19","3:36","289","302","1.36","0.0","9,708","--","84.2","No","00:00:14.9","11","93.2","00:55:18","01:14:44","198","317"
Running,2021-09-07 09:51:58,false,"Henrico County Running","2.00","180","00:14:04","139","154","1.7","176","194","7:03","5:56","75","69","1.30","0.0","2,494","--","78.8","No","00:14:04","1","84.2","00:13:59","00:14:50","148","199"
Running,2021-09-06 17:13:37,false,"Henrico County Running","6.00","553","00:45:35","142","153","2.1","172","185","7:36","6:30","177","187","1.23","0.0","7,846","--","82.4","No","00:45:35","1","86.0","00:45:23","00:46:32","155","224"
Running,2021-09-04 12:35:50,false,"Henrico County Running","10.37","937","01:18:31","146","159","2.5","170","228","7:34","6:29","417","374","1.25","0.0","13,496","--","82.4","No","01:18:31","1","89.6","01:18:29","01:26:07","161","971"
Running,2021-09-03 09:08:07,false,"Henrico County Running","3.20","312","00:23:10","144","157","2.1","175","221","7:14","4:01","66","75","1.26","0.0","4,044","--","71.6","No","00:04:57.9","2","78.8","00:23:03","00:24:40","203","253"
Running,2021-09-03 08:35:52,false,"Henrico County Running","1.05","101","00:07:42.5","139","149","1.1","170","182","7:21","6:46","49","49","1.29","0.0","1,338","--","71.6","No","00:07:42.5","1","80.6","00:07:32","00:15:27","251","283"
Running,2021-09-02 08:58:00,false,"Henrico County Running","8.98","897","01:12:11","143","170","3.0","159","232","8:02","3:44","453","341","1.24","0.0","11,594","--","69.8","No","00:00:31.6","20","84.2","01:07:57","01:17:58","199","291"
Running,2021-09-01 17:31:46,false,"Running","5.00","381","00:37:55","128","140","1.5","168","175","7:35","7:08","--","10","1.26","0.0","6,394","--","78.8","No","00:37:55","1","84.2","00:37:44","00:37:55","346","361"
